FID,WSA_AGIDF,SUM_GU_POP,COUNT_POLY,STATE_ABBR,STATE_FIPS,STATE_NM,SUM_SQKM,HUC2,HUC2_NM,WSA_NAME,OID_1,WSA_AGIDF1,TOT_WD_MGD,WD_YEAR,IN_SWUDS,x_centroid,y_centroid
0,010106001,0.000000000000000,1,CT,09,Connecticut,6.614481394760000,01,New England Region,Mashantucket Pequot Water System,0, ,0.000000000000000,0.0000000, ,1970370.0000000,2301540.0000000
1,042800001,887.000000000000000,1,MS,28,Mississippi,16.572063100899999,03,South Atlantic-Gulf Region,CHOCTAW - BOGUE CHITTO,0, ,0.000000000000000,0.0000000, ,658751.0000000,1109340.0000000
2,042800002,1342.000000000000000,1,MS,28,Mississippi,40.929074173899998,03,South Atlantic-Gulf Region,CHOCTAW - CONEHATTA,0, ,0.000000000000000,0.0000000, ,627716.0000000,1065050.0000000
3,042800003,3601.000000000000000,1,MS,28,Mississippi,80.451758349200006,03,South Atlantic-Gulf Region,CHOCTAW - PEARL RIVER,0, ,0.000000000000000,0.0000000, ,628725.0000000,1101890.0000000
4,042800004,662.000000000000000,1,MS,28,Mississippi,10.076671877300001,03,South Atlantic-Gulf Region,CHOCTAW - TUCKER,0, ,0.000000000000000,0.0000000, ,646999.0000000,1094530.0000000
5,043740039,2138.000000000000000,1,NC,37,North Carolina,31.264188877599999,06,Tennessee Region,CHEROKEE WATER SYSTEM,0, ,0.000000000000000,0.0000000, ,1138770.0000000,1457310.0000000
6,055293302,480.000000000000000,1,MI,26,Michigan,9.366357784550001,04,Great Lakes Region,ZEBA,0, ,0.000000000000000,0.0000000, ,580846.0000000,2668020.0000000
7,055294201,342.000000000000000,1,MN,27,Minnesota,7.159168447680000,07,Upper Mississippi Region,BALL CLUB,0, ,0.000000000000000,0.0000000, ,156121.0000000,2706080.0000000
8,055294202,116.000000000000000,1,MN,27,Minnesota,1.320933995310000,07,Upper Mississippi Region,BENA,0, ,0.000000000000000,0.0000000, ,136335.0000000,2706700.0000000
9,055294204,212.000000000000000,1,MN,27,Minnesota,4.944654062600000,09,Souris-Red-Rainy Region,INGER,0, ,0.000000000000000,0.0000000, ,152946.0000000,2730910.0000000
