WSA_AGIDF,Ecode
NY7003493,S
NY7003493,S
NY7003493,S
MA6000000,S
MD0150005,S
PA1510001,N
PA1510001,N
TX0150539,S
TX0940094,S
TX0150562,S
OH2504412,S
OH2504412,S
OH2504412,S
OH2504412,S
MO6010716,S
MI0002838,S
OH3102612,S
VA6059501,S
NJ0238001,S
PA1460073,S
PA1460073,S
PA1460073,S
GA0670002,S
GA1350004,S
GA1210001,S
GA1210038,S
DC0000001,S
MA6000000,S
NJ2004002,S
NJ2004002,S
NJ2004002,S
NY1400443,S
GA0670002,S
PA5020039,S
PA5020039,S
CA1910087,S
FL6296139,S
FL2161327,N
CA1910087,S
CA1910128,S
FL6515292,S
FL6296139,S
NJ1345001,S
CT0150011,S
CA1910087,S
NJ1605002,S
FL6521715,SB
NY3304336,S
LA1071009,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
MD0020017,N
NV0000289,S
NY4303673,S
GA0630000,S
NJ0327001,S
CA1910155,B
CA1910087,S
PR0002000,N
NY2902835,N
CA3710010,S
CA3710025,S
CA3710020,S
AZ0407095,N
AZ0407095,N
OR4100379,S
AZ0407025,N
AZ0407025,N
AZ0407025,N
AZ0407025,N
AZ0407025,N
AZ0407025,N
AZ0407025,N
WV3302016,S
NJ0712001,S
DC0000001,S
FL6511361,SB
FL6296139,S
LA1051004,S
OR4100665,SB
NJ1111001,S
DE0000552,SB
DE0000663,S
PA7670100,S
FL6290327,S
FL6515292,S
FL6296177,SB
FL6296139,S
NY5903429,SB
NY5903488,S
PA2409002,S
PA2409011,N
FL6290388,SB
TN0000107,S
TX2200012,S
TX0700005,S
TX0570048,B
TX0570004,S
CA5610046,S
ID4010016,S
CA1910087,S
PA6250028,S
CA1910087,S
PR0302023,N
NY2902840,N
CA1910087,S
CA3410020,S
CA3310021,S
CA3310083,S
CA3610006,S
OH5701315,SB
OH5703512,S
CA3710042,S
FL6142734,S
CA3910001,B
CA3910006,S
CA1910087,S
CA1910087,S
PA2359001,N
PA2359006,N
IL1635040,S
VA2770900,S
VA6059501,S
CA1910087,S
CA1510040,S
AZ0407090,N
AZ0407090,N
NY7003493,S
NC0229025,S
OH5703512,S
CA1910087,S
OH2101412,S
OH2101412,S
OH2101412,S
FL3484093,N
CA3810001,S
WA5341750,SB
WA5377050,S
WA5371650,SB
WA5342250,SB
PA2359008,N
NC0304010,S
SC2920002,S
SC2920001,SB
CA1910087,S
CA3310049,SB
CA3310009,SB
CA1910036,B
CA1910087,S
CA1510003,N
CA1510055,N
VA6059501,S
NY3202411,S
CA1910033,B
CA1910087,S
GA0210001,S
NJ0714001,S
NJ2004002,S
CA1910087,S
LA1033019,N
CA1910039,S
CA1910189,B
CA1910039,S
NJ0119002,N
NY2902830,N
GA0670002,S
CA3010082,S
CA1910087,S
CA3010093,SB
UTAH25112,S
CA3810001,S
VA3550051,N
TX0680002,S
OH1302212,S
OH1302212,S
WA5340650,SB
OH0904012,S
CA1910048,S
FL3490751,S
NY2900000,N
FL6521405,SB
DE0000564,S
UTAH18027,S
CA1910045,S
PA7220015,N
UTAH18027,S
FL2100741,N
MD0120016,S
MD0120016,S
WI4050356,S
CA3810001,S
CA3710042,S
TX1010013,S
PR0002652,N
CA1910240,B
CA1910048,S
WA5305575,SB
WA5377050,S
WA5340850,S
UTAH18016,S
CA3010022,B
CA1910087,S
MO6010715,S
CA1910087,S
OH7608112,S
MI0002838,S
CA1910087,S
WA5377050,S
UTAH25112,S
UTAH25112,S
PA7210029,N
PA7210029,N
NC6054001,S
PA1090117,SB
PA1090117,SB
PA1090117,SB
PA1460050,SB
PA1460050,SB
PA1460050,SB
PA1460048,S
PA1460048,S
PA1460048,S
PA1090128,SB
PA1090128,SB
PA1090128,SB
CA1910087,S
CA3710010,S
CA3710042,S
CA3710013,SB
MI0002838,S
CA3410026,N
MI0002838,S
CA4210030,S
OH4302411,N
CA4310022,N
MD0210010,S
TX1010013,S
TX1010418,SB
MN1270024,S
CT0473011,S
CA1910087,S
CA3310009,SB
CA1910087,S
CA3310031,S
CA1910134,B
CA1910087,S
CA5610050,S
IN5210005,S
AL0000833,S
AL0000893,SB
AL0000878,S
AL0000882,S
CA1910087,S
CA1910087,S
CA1910087,S
NY1400443,S
MA4076004,N
IN5241005,S
CA1910027,S
CA1910045,S
AZ0407098,S
AZ0407098,S
AZ0407098,S
CA3810001,S
TX1010013,S
NJ0714001,S
OH0200811,S
TX1010348,S
CA3610075,S
CA3610006,S
CA3610029,SB
GA1130001,S
KY1140038,S
OR4100668,SB
CA1910041,S
PR0005306,N
CA1910087,S
FL4061408,S
TX1011742,S
OH0300112,S
OH4700311,S
OH3902611,S
CA1910087,S
MI0002838,S
PR0005296,N
CA3610006,S
CA3610075,S
CA3610029,SB
MI0003563,S
CA3810001,S
OH5703512,S
MD0080049,B
MD0080049,B
MD0080049,B
MD0080049,B
MD0080049,B
MD0080049,B
MD0080049,B
MD0080049,B
MD0080049,B
MD0150005,S
MD0150005,S
MD0150005,S
MD0150005,S
MD0150005,S
MD0150005,S
MD0150005,S
MD0150005,S
MD0150005,S
UTAH29023,S
CA1910087,S
AZ0411009,S
UTAH27049,S
AZ0407092,N
AZ0407092,N
AZ0407092,N
OR4100379,S
RI1592024,SB
