iter	RMSE
0	0.69773899231	0.6781571416222	0.65918119033	0.6412491546
4	0.6250633038
5	0.6110974221
6	0.595883996977	0.583218490988	0.571232873
9	0.5610350203
10	0.5502683238
11	0.5401657434
12	0.5315943207
13	0.5232734554
14	0.5161098557
15	0.5091640391616	0.5030098772
17	0.4976522714
18	0.4923328398119	0.487503438820	0.4843691607
21	0.4798518823
22	0.4756703157
23	0.472192265
24	0.4690660157
25	0.4656043459
26	0.4626056
27	0.4597019732
28	0.4568608215
29	0.4542050426
30	0.4519028421
31	0.4496491377
32	0.447661779
33	0.4458159632
34	0.4439341648
35	0.4422315188
36	0.4412077601
37	0.4397312247
38	0.438340607
39	0.4369789355
40	0.435876752
41	0.4349349623
42	0.4335492212
43	0.4321719097
44	0.4309692619
45	0.4297306809
46	0.428564597
47	0.4274571497
48	0.4263350621
49	0.4251905453
50	0.4243312311
51	0.4234942883
52	0.4222737362
53	0.4216494068
54	0.4205540791
55	0.4200206078
56	0.4191304012
57	0.4181511472
58	0.4173490194
59	0.4166195496
60	0.4159261351
61	0.4151570442
62	0.4145028264
63	0.4138810955
64	0.4131936614
65	0.4126111428
66	0.412108242
67	0.4112866646
68	0.4108249449
69	0.4101226032
70	0.4096232144
71	0.4089251464
72	0.4085718666
73	0.4079568886
74	0.4074	0.404575	0.4066961601
76	0.4060023613
77	0.4053683618
78	0.4047963813
79	0.4038071479
80	0.4033189364
81	0.4026817897
82	0.4022459419
83	0.4017560838
84	0.401201462
85	0.4000578512
86	0.3992929959
87	0.3985256715
88	0.3979101768
89	0.3974366719
90	0.3969948908
91	0.3965085577
92	0.3958872046
93	0.3955292113
94	0.3952139225
95	0.3946632354
96	0.3943282587
97	0.3938302391
98	0.3934205597
99	0.3929734007
100	0.3925181675
101	0.3922363083
102	0.391865519
103	0.3916559784
104	0.3910156326
105	0.3905621401
106	0.39001135
107	0.3896494739
108	0.3891017036
109	0.3886726502
110	0.3882998225
111	0.3879208222
112	0.3875679992
113	0.3871885589
114	0.3866189792
115	0.386251296
116	0.3859408315
117	0.3853304975
118	0.3850511404
119	0.3843746127
120	0.3841664904
121	0.3838782979
122	0.3835286614
123	0.383043172
124	0.3825180001
125	0.3820516022
126	0.3816097556
127	0.3813850013
128	0.3811056409
129	0.3806542558
130	0.3802841979
131	0.3798886243
132	0.3795576767
133	0.3790841745
134	0.3787952355
135	0.3784127412
136	0.3778434435
137	0.3776250616
138	0.3770404968
139	0.3767035747
140	0.3762436891
141	0.3758770512
142	0.375442808
143	0.3752009287
144	0.3747953533
145	0.3744337029
146	0.3738757794
147	0.3732648184
148	0.37298891
149	0.3726021013
150	0.3722755042
151	0.3719181035
152	0.371619152
153	0.3713269405
154	0.3710632528
155	0.3707562231
156	0.3704829683
157	0.3701771884
158	0.3697494605
159	0.3693689098
160	0.3690167514
161	0.3687167862
162	0.3683479394
163	0.368013649
164	0.367659951
165	0.3672095936
166	0.366822432
167	0.3666491592
168	0.3662345143
169	0.3659868613
170	0.3656285383
171	0.3650897978
172	0.3646044575
173	0.3640765034
174	0.3637962958
175	0.3635165925
176	0.3629395565
177	0.3626383308
178	0.3624394456
179	0.3619952771
180	0.361789342
181	0.3615036312
182	0.3611969762
183	0.3606240945
184	0.3603745256
185	0.3600976659
186	0.3597374191
187	0.3594800513
188	0.3590814258
189	0.3587360925
190	0.3581683502
191	0.3579131589
192	0.3575652389
193	0.35722680019194	0.35683196119195	0.35654019219196	0.35613188
197	0.3556940648
198	0.35532362931199	0.35493884482200	0.354549493
201	0.3539146916
202	0.353401933
203	0.3530829794
204	0.3527932756
205	0.3525081039
206	0.3521260164
207	0.3517538672
208	0.35153608120209	0.35096002721210	0.35055672921211	0.3503502579
212	0.35007301321213	0.3497101628
214	0.3493277057
215	0.3491065644
216	0.3485977204
217	0.3483065015
218	0.3479474515
219	0.3476125175
220	0.347340719
221	0.3470175625
222	0.346745339
223	0.3460385187
224	0.3458575965
225	0.3456608853
226	0.3452844956
227	0.3449388199
228	0.3447536291
229	0.3442992039
230	0.3440396683
231	0.3436248265
232	0.3434142135
233	0.3431478946
234	0.3428735991
235	0.3425107972
236	0.3422318336
237	0.3419853433
238	0.3415948367
239	0.34133751
240	0.3410141105
241	0.340786046
242	0.3404991218
243	0.3400918703
244	0.3398046324
245	0.3394578106
246	0.3391545136
247	0.3387031106
248	0.3382978338
249	0.3378256142
250	0.3375165821
251	0.3369622527
252	0.3366802458
253	0.3363915286
254	0.336066686
255	0.335560171
256	0.335266417
257	0.3349439963
258	0.3345701556
259	0.3343882706
260	0.3339250021
261	0.3336654328
262	0.3332707935
263	0.3329300965
264	0.3326227238
265	0.3322828294
266	0.3319125854
267	0.3316437007
268	0.3314001902
269	0.3311965209
270	0.3308986907
271	0.330560619
272	0.3303524028
273	0.3300404705
274	0.3297345541
275	0.3293953376
276	0.3292372654
277	0.3288802472
278	0.328709247
279	0.3284802348
280	0.3281077671
281	0.3278110845
282	0.3274465216
283	0.3271704836
284	0.3269889343
285	0.3267260148
286	0.3263547997
287	0.3262120539
288	0.3260135663
289	0.325660609
290	0.3255165955
291	0.3253263233
292	0.3251473756
293	0.3249630088
294	0.3245765733
295	0.3242746254
296	0.3240478757
297	0.3237215414
298	0.3233829549
299	0.323226656
300	0.3230329348
301	0.3227247983
302	0.3223081857
303	0.321955534
304	0.3214778885
305	0.3212783338
306	0.3209484413
307	0.3208438839
308	0.3206661383
309	0.3204570705
310	0.3202424371
311	0.3198748401
312	0.3195796854
313	0.3193911272
314	0.3189887255
315	0.3186048578
316	0.3183724564
317	0.3180602511
318	0.3177352979
319	0.3174628272
320	0.3173301638
321	0.3171468556
322	0.3169761192
323	0.316722958
324	0.3164879277
325	0.3161182813
326	0.3155939315
327	0.3152641661
328	0.3149957961
329	0.3148359603
330	0.314579527
331	0.3141194295
332	0.3139321685
333	0.3136998151
334	0.3135001605
335	0.3131996669
336	0.3127944324
337	0.3125173559
338	0.3122614514
339	0.3119890062
340	0.3118402875
341	0.3114832709
342	0.3112387319
343	0.3110247662
344	0.3108862804
345	0.3106027466
346	0.3104280078
347	0.3100889192
348	0.3096764838
349	0.3094742618
350	0.3092392325
351	0.3090861462
352	0.3089457446
353	0.3086799079
354	0.308453325
355	0.3082116894
356	0.308031934
357	0.3078626574
358	0.3075932977
359	0.3072481766
360	0.3069537338
361	0.3067769891
362	0.3064003459
363	0.3062619864
364	0.3060586217
365	0.3059002831
366	0.3056102618
367	0.3052854702
368	0.3051152543
369	0.3047287153
370	0.3045135593
371	0.3043420862
372	0.3041533678
373	0.3039955837
374	0.303719102
375	0.3034912161
376	0.3032979331
377	0.3030035779
378	0.3029135872
379	0.3027258989
380	0.3024046071
381	0.3021422854
382	0.3018772094
383	0.3017442549
384	0.3014939407
385	0.3012865727
386	0.3009643401
387	0.3007371426
388	0.3005838679
389	0.3003144057
390	0.3001874752
391	0.2998573497
392	0.2994637151
393	0.2993370578
394	0.2991317473
395	0.2988827858
396	0.2987263394
397	0.2983430625
398	0.2981292942
399	0.2978889329
400	0.2977474301
401	0.2976039377
402	0.2973458953
403	0.2968352961
404	0.2967587299
405	0.2965601779
406	0.2963623442
407	0.296134036
408	0.2959502693
409	0.2956745176
410	0.295411502
411	0.2953013909
412	0.2950940955
413	0.2949074812
414	0.2947161227
415	0.2944658817
416	0.2943835949
417	0.2940804036
418	0.2937214153
419	0.2935526026
420	0.2932568513
421	0.2931658757
422	0.2929261482
423	0.2926982851
424	0.2924206541
425	0.2921767639
