iter	Passed	Remaining
0	122	122001	1	176	88092	2	240	80053	3	296	73754	4	343	68435	5	388	64376	6	430	61137	7	466	57838	8	520	57307
9	559	55361010	610	54891111	656	54081212	699	53091313	741	52211414	789	51841515	840	51681616	892	51621717	948	51741818	999	51581919	1033	50632020	1067	49782121	1122	49882222	1182	50238223	1225	49848224	1257	49029225	1303	48820226	1352	48754227	1402	48687228	1442	48314229	1486	48052330	1528	47778331	1584	47938332	1632	47833333	1682	47803334	1735	47860
35	1797	48142
36	1849	48129
37	1890	47848338	1940	47819
39	1983	47596440	2025	47374441	2058	46948442	2111	46995443	2161	46972444	2206	46832445	2247	46615446	2279	46217447	2334	46299448	2372	46047449	2415	45894550	2464	45852551	2503	45631552	2538	45360
53	2573	45084554	2616	44955555	2653	44734556	2686	44444557	2722	44223558	2756	43957559	2792	43752660	2833	43611661	2876	43521662	2920	43435663	2960	43299664	3012	43328665	3054	43232666	3091	43055667	3122	42802668	3152	42536669	3188	42357770	3219	42127771	3245	41837772	3283	41697773	3322	4157774	3366	41516
775	3398	41317776	3446	41319777	3485	41197778	3527	41128779	3564	40988880	3598	40828881	3638	40738882	3678	40648383	3712	40488484	3746	40338585	3788	40268686	3826	40156
87	3867	40079
88	3912	40044
89	3950	39945
90	3989	39851
91	4025	39729292	4064	39642
93	4102	39540
94	4142	39461
95	4180	39362
96	4223	39318
97	4269	39300
98	4328	39390
99	4371	39339
100	4422	39362
101	4463	39297
102	4499	39182
103	4545	39159
104	4585	39086
105	4630	39049
106	4683	39088
107	4725	39030
108	4770	38998
109	4812	38937
110	4854	38878
111	4914	38965
112	4963	38963
113	5016	38991
114	5065	38986
115	5110	38949
116	5166	38991
117	5203	38891
118	5262	38960
119	5310	38943
120	5353	38893
121	5399	38858
122	5450	38859
123	5490	38786
124	5528	38697
125	5563	38592
126	5608	38555
127	5671	38638
128	5713	38576
129	5760	38550
130	5823	38633
131	5878	38655
132	5923	38616
133	5974	38610
134	6022	38590
135	6073	38582
136	6121	38560
137	6167	38526
138	6216	38505
139	6258	38446
140	6300	38384
141	6349	38366
142	6394	38322
143	6435	38255
144	6479	38205
145	6529	38195
146	6579	38181
147	6624	38133
148	6665	38071
149	6720	38080
150	6763	38028
151	6801	37947
152	6854	37944
153	6915	37990
154	6958	37934
155	7012	37937
156	7052	37870
157	7087	37768
158	7123	37680
159	7169	37640
160	7206	37554
161	7259	37550
162	7317	37576
163	7351	37475
164	7405	37475
165	7449	37429
166	7497	37397
167	7542	37351
168	7592	37335
169	7643	37318
170	7669	37183
171	7728	37204
172	7784	37211
173	7820	37122
174	7852	37017
175	7889	36938
176	7923	36844
177	7967	36792
178	8012	36748
179	8051	36676
180	8095	36632
181	8131	36548
182	8173	364918183	8216	364318184	8277	36465
185	8343	36511
186	8395	36498
187	8470	36584
188	8520	36560
189	8567	36523
190	8613	36483
191	8654	36420
192	8696	36361
193	8735	362919194	8767	361919195	8808	361319196	8855	36094
197	8914	36109
198	8948	360119199	8998	359920200	9037	359220201	9078	35863
202	9128	358320203	9183	35832
204	9231	35800
205	9276	35756
206	9317	35694
207	9363	35653
208	9397	355620209	9449	355421210	9493	354921211	9543	35472
212	9585	354121213	9634	35385
