iter	Passed	Remaining
0	147	147064
1	159	79673
2	170	56770
3	182	45405
4	194	38615
5	205	34032
6	217	30842
7	228	28368
8	240	26464
9	251	24907
10	268	24135
11	280	23129
12	291	22114
13	302	21336
14	314	20629
15	325	19996
16	336	19445
17	347	18943
18	360	18592
19	370	18170
20	381	17793
21	393	17477
22	404	17201
23	416	16934
24	428	16721
25	439	16448
26	450	16242
27	462	16060
28	473	15868
29	485	15700
30	496	15532
31	508	15395
32	520	15239
33	530	15085
34	541	14943
35	553	14816
36	564	14703
37	575	14578
38	586	14459
39	598	14367
40	609	14259
41	620	14155
42	630	14042
43	642	13950
44	652	13856
45	664	13774
46	674	13681
47	685	13593
48	696	13520
49	707	13437
50	717	13360
51	729	13292
52	740	13227
53	751	13157
54	762	13096
55	772	13024
56	783	12963
57	794	12907
58	805	12844
59	816	12794
60	827	12734
61	837	12673
62	849	12628
63	860	12587
64	871	12533
65	882	12489
66	893	12443
67	904	12390
68	913	12331
69	924	12287
70	936	12247
71	947	12212
72	957	12154
73	967	12108
74	977	12056
75	988	12020
76	998	11973
77	1009	11935
78	1019	11891
79	1030	11846
80	1041	11818
81	1052	11780
82	1061	11727
83	1073	11704
84	1084	11671
85	1095	11648
86	1107	11622
87	1118	11593
88	1128	11555
89	1141	11537
90	1151	11502
91	1162	11471
92	1172	11436
93	1182	11401
94	1194	11379
95	1206	11358
96	1216	11328
97	1228	11308
98	1239	11276
99	1251	11260
100	1262	11236
101	1272	11199
102	1283	11174
103	1294	11150
104	1305	11126
105	1316	11104
106	1328	11085
107	1338	11057
108	1349	11033
109	1360	11007
110	1371	10981
111	1383	10965
112	1393	10935
113	1403	10907
114	1413	10881
115	1424	10855
116	1434	10828
117	1445	10806
118	1455	10778
119	1467	10760
120	1478	10738
121	1488	10713
122	1500	10696
123	1512	10682
124	1523	10661
125	1533	10640
126	1545	10623
127	1555	10595
128	1566	10576
129	1576	10553
130	1588	10535
131	1599	10517
132	1609	10491
133	1618	10462
134	1629	10443
135	1641	10431
136	1652	10408
137	1662	10384
138	1672	10359
139	1683	10340
140	1693	10319
141	1704	10297
142	1714	10276
143	1726	10261
144	1735	10235
145	1746	10217
146	1757	10200
147	1768	10180
148	1780	10168
149	1791	10151
